,pop_density,flu_shot,covid_shots,bmi_diff
12317,-0.5,0.0,1.0,0.0
13049,-0.3,0.0,0.0,0.0
19198,-0.7,0.0,0.0,0.2
13047,0.0,0.0,1.0,-0.0
10596,-0.1,0.0,1.0,-0.0
11425,-0.0,0.0,1.0,0.0
14056,-0.0,0.0,1.0,-0.0
19311,0.0,0.0,2.0,0.0
10915,-0.0,0.0,1.0,-0.0
11846,-0.0,0.0,1.0,0.0
10399,-0.5,0.0,0.0,0.0
13606,0.0,0.0,1.0,-0.0
18743,0.0,0.0,1.0,0.0
18105,-0.1,0.0,1.0,-0.0
11008,0.0,0.0,0.0,-0.1
19208,-0.2,0.0,0.0,-0.0
10845,-0.1,0.0,0.0,-0.0
14653,0.0,0.0,1.0,-0.0
15521,0.0,0.0,0.0,-0.0
12072,-0.7,0.0,0.0,-0.0
13554,-0.5,0.0,1.0,-0.3
10152,-1.5,0.0,0.0,0.1
12437,0.0,0.0,1.0,0.0
17301,-0.9,0.0,0.0,0.1
11156,-0.3,0.0,1.0,-0.0
12253,0.0,0.0,0.0,-0.1
18126,0.1,0.0,1.0,-0.0
18960,0.0,0.0,0.0,-0.1
17733,-0.2,0.0,0.0,-0.0
13141,-0.0,0.0,1.0,0.0
17505,0.0,0.0,0.0,0.0
15355,-0.7,0.0,1.0,0.1
18165,0.0,0.0,2.0,0.0
19953,-0.0,0.0,0.0,-0.1
14945,-0.5,0.0,1.0,0.0
14229,-0.9,0.0,0.0,-0.0
17623,-0.1,0.0,0.0,-0.0
10088,-0.5,0.0,0.0,-0.0
10413,-0.2,0.0,0.0,-0.0
19923,-0.0,0.0,1.0,0.0
16424,-0.9,0.0,1.0,0.0
12487,-0.8,0.0,0.0,0.0
11186,0.0,0.0,0.0,0.0
14287,-0.0,0.0,1.0,-0.0
15582,0.0,0.0,1.0,0.0
11454,0.0,0.0,0.0,-0.1
14332,-0.0,0.0,1.0,0.1
16402,0.0,0.0,2.0,0.1
16842,-0.0,0.0,0.0,-0.0
10341,0.0,0.0,1.0,0.0
10275,-0.1,0.0,0.0,-0.0
15268,-0.1,0.0,0.0,-0.0
19561,-0.3,0.0,0.0,-0.0
12535,-0.3,0.0,0.0,-0.0
11982,0.1,0.0,0.0,-0.0
15838,0.0,0.0,2.0,-0.1
15586,-0.5,0.0,1.0,0.0
13786,-0.5,0.0,1.0,0.0
18137,-0.4,0.0,1.0,0.1
19267,-0.0,0.0,1.0,0.0
12603,0.1,0.0,1.0,-0.0
12917,0.0,0.0,1.0,-0.0
11235,0.0,0.0,1.0,-0.0
12613,-0.0,0.0,1.0,-0.0
10425,-0.5,0.0,1.0,-0.0
14167,-0.5,0.0,1.0,0.0
19199,-1.1,0.0,0.0,-0.0
18389,-0.0,0.0,1.0,0.0
11620,-0.0,0.0,1.0,0.0
12156,0.0,0.0,1.0,-0.1
18084,-0.1,0.0,1.0,0.0
15871,0.0,0.0,1.0,-0.0
13884,-0.1,0.0,1.0,0.0
13736,-0.0,0.0,0.0,-0.0
14542,-0.0,0.0,1.0,-0.0
10327,-0.2,0.0,1.0,-0.0
16772,-0.7,0.0,0.0,0.1
12804,0.1,0.0,2.0,-0.0
12054,-0.1,0.0,3.0,0.0
16650,-0.8,0.0,0.0,0.1
18237,-0.4,0.0,1.0,0.1
17448,-0.5,0.0,0.0,0.1
17371,0.0,0.0,1.0,0.0
16824,0.0,0.0,1.0,0.0
10739,-0.8,0.0,1.0,0.0
18053,-0.7,0.0,1.0,0.0
16819,-0.9,0.0,0.0,0.1
10525,0.1,0.0,1.0,-0.0
12023,-0.0,0.0,1.0,0.0
13921,-0.2,0.0,0.0,0.0
10640,0.0,0.0,0.0,-0.0
17584,-0.1,0.0,2.0,0.0
13164,-0.0,0.0,1.0,0.0
10577,-0.0,1.0,1.0,-0.0
13744,-0.0,0.0,1.0,-0.0
16113,-0.0,0.0,1.0,0.1
17452,-0.0,0.0,1.0,0.0
16327,-0.0,0.0,1.0,0.0
14839,-0.0,0.0,2.0,0.0
13413,-0.2,0.0,0.0,-0.1
16543,-0.5,0.0,0.0,-0.0
