,pop_density,flu_shot,covid_shots,bmi_diff
15824,0.0,0.0,1.0,0.0
12751,0.1,0.0,0.0,-0.0
17649,0.0,0.0,2.0,-0.0
17627,-0.0,0.0,1.0,-0.0
14841,-0.0,0.0,2.0,-0.0
12091,-0.0,0.0,1.0,-0.0
15861,0.0,0.0,1.0,0.0
19038,-0.1,0.0,1.0,-0.0
13497,-0.8,0.0,0.0,-0.0
12488,-0.5,0.0,0.0,-0.0
16911,-0.0,0.0,2.0,0.0
11764,-0.7,0.0,0.0,-0.0
13171,-0.0,0.0,1.0,-0.0
14244,-0.0,0.0,1.0,-0.0
13372,-0.0,0.0,2.0,0.0
19337,-0.4,0.0,0.0,0.1
10098,-0.5,0.0,1.0,0.0
19670,-0.0,0.0,1.0,0.0
12334,-0.5,0.0,0.0,-0.0
12467,-1.0,0.0,0.0,0.0
18976,-0.8,0.0,1.0,-0.0
12319,0.0,0.0,1.0,-0.0
15998,0.0,0.0,1.0,0.0
15870,0.0,0.0,1.0,-0.0
14945,-0.0,0.0,1.0,0.0
15480,-0.1,0.0,1.0,0.0
15581,0.1,0.0,2.0,-0.0
18989,-0.2,0.0,1.0,-0.1
10279,-0.8,0.0,0.0,-0.0
13363,0.0,0.0,2.0,0.0
11122,0.0,0.0,1.0,0.0
17628,0.0,0.0,0.0,-0.1
13177,-0.0,0.0,0.0,-0.1
11696,-0.0,0.0,1.0,-0.0
13463,-0.0,0.0,1.0,0.0
19295,-0.0,0.0,1.0,0.0
10266,-0.1,0.0,1.0,0.0
16416,-0.0,0.0,1.0,0.0
18631,-0.1,0.0,1.0,0.0
12621,-0.2,0.0,2.0,-0.0
18507,0.0,0.0,1.0,0.0
10594,-0.6,0.0,0.0,-0.0
