,pop_density,flu_shot,covid_shots,bmi_diff,appetite_loss,fever,fatigue
10272,0.0,0.0,0.0,-0.0,0.2,0.0,0.0
12531,-0.0,0.0,0.0,0.0,0.9,0.0,0.0
18721,-0.0,0.0,0.0,-0.0,0.9,0.0,0.0
13523,0.0,0.0,0.0,-0.0,0.9,0.0,0.0
15206,-0.0,0.0,0.0,0.0,0.3,0.0,0.0
12292,-0.0,0.0,0.0,0.0,0.5,0.0,0.0
14825,0.0,0.0,0.0,0.0,0.6,0.0,0.0
14777,-0.0,0.0,0.0,0.0,0.4,0.0,0.0
11747,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0
11537,-0.1,0.0,0.0,0.0,0.5,0.0,0.0
11764,-0.0,0.0,0.0,-0.0,0.1,0.0,0.0
14907,0.0,0.0,0.0,-0.0,0.8,0.0,0.0
17569,0.0,0.0,0.0,0.0,0.6,0.0,0.0
17353,0.0,0.0,0.0,-0.0,0.2,0.0,0.0
16896,0.0,0.0,0.0,-0.0,0.5,0.0,0.0
10266,-0.0,0.0,0.0,0.0,0.6,0.0,0.0
14761,0.0,0.0,0.0,0.0,0.4,0.0,0.0
10011,-0.0,0.0,0.0,-0.0,0.6,0.0,0.0
17831,-0.0,0.0,0.0,-0.0,0.9,0.0,0.0
13968,-0.0,0.0,0.0,0.0,0.5,0.0,0.0
14374,-0.0,0.0,0.0,0.0,0.2,0.0,0.0
15757,0.0,0.0,0.0,-0.0,1.0,0.0,0.0
11803,0.0,0.0,0.0,-0.0,0.8,0.0,0.0
14774,0.0,0.0,0.0,0.0,0.5,0.0,0.0
19870,-0.0,0.0,0.0,-0.0,0.9,0.0,0.0
19852,0.0,0.0,0.0,-0.0,0.4,0.0,0.0
19128,0.0,0.0,0.0,-0.0,0.6,0.0,0.0
13544,0.0,0.0,0.0,-0.0,0.4,0.0,0.0
13177,-0.0,0.0,0.0,0.0,0.7,0.0,0.0
11672,0.0,0.0,0.0,0.0,0.9,0.0,0.0
14610,0.0,0.0,0.0,0.0,0.6,0.0,0.0
12215,0.0,0.0,0.0,0.0,0.5,0.0,0.0
11284,0.0,0.0,0.0,0.0,0.3,0.0,0.0
17445,-0.0,0.0,0.0,-0.0,0.1,0.0,0.0
10469,-0.0,0.0,0.0,-0.0,0.2,0.0,0.0
10501,0.0,0.0,0.0,-0.0,0.5,0.0,0.0
13737,0.0,0.0,0.0,0.0,0.7,0.0,0.0
12983,-0.0,0.0,0.0,-0.0,0.9,0.0,0.0
18933,0.0,0.0,0.0,-0.0,0.4,0.0,0.0
15542,0.1,0.0,0.0,0.0,0.6,0.0,0.0
13032,0.0,0.0,0.0,-0.0,0.2,0.0,0.0
16793,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
18057,0.0,0.0,0.0,-0.0,0.2,0.0,0.0
12854,-0.0,0.0,0.0,0.0,0.6,0.0,0.0
13422,-0.1,0.0,0.0,-0.0,1.0,0.0,0.0
14357,-0.0,0.0,0.0,-0.0,0.4,0.0,0.0
10230,-0.0,0.0,0.0,-0.0,0.4,0.0,0.0
13851,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
19533,-0.0,0.0,0.0,0.0,0.4,0.0,0.0
19848,0.0,0.0,0.0,0.0,0.4,0.0,0.0
19350,0.0,0.0,0.0,-0.0,0.9,0.0,0.0
13640,-0.0,0.0,0.0,-0.0,0.3,0.0,0.0
11336,0.1,0.0,0.0,0.0,0.9,0.0,0.0
13732,-0.0,0.0,0.0,-0.0,0.5,0.0,0.0
18544,-0.0,0.0,0.0,0.0,0.5,0.0,0.0
17443,0.0,0.0,0.0,0.0,0.7,0.0,0.0
15641,0.0,0.0,0.0,-0.0,0.9,0.0,0.0
14857,-0.0,0.0,0.0,-0.0,0.1,0.0,0.0
16677,-0.0,0.0,0.0,0.0,0.3,0.0,0.0
17681,0.0,0.0,0.0,-0.0,0.9,0.0,0.0
11302,-0.0,0.0,0.0,-0.0,0.9,0.0,0.0
14871,-0.0,0.0,0.0,-0.0,0.5,0.0,0.0
12143,0.0,0.0,0.0,0.0,1.0,0.0,0.0
16443,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
10828,-0.0,0.0,0.0,0.0,0.6,0.0,0.0
18949,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
15423,-0.0,0.0,0.0,-0.0,0.5,0.0,0.0
14615,0.0,0.0,0.0,-0.0,0.1,0.0,0.0
17101,-0.1,0.0,0.0,0.0,0.2,0.0,0.0
14135,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0
18176,0.0,0.0,0.0,0.0,0.3,0.0,0.0
10205,0.0,0.0,0.0,-0.0,0.6,0.0,0.0
16682,-0.0,0.0,0.0,-0.0,0.5,0.0,0.0
12343,-0.0,0.0,0.0,-0.0,0.4,0.0,0.0
10477,-0.0,0.0,0.0,0.0,0.1,0.0,0.0
16827,-0.0,0.0,0.0,0.0,0.6,0.0,0.0
18035,-0.0,0.0,0.0,-0.0,0.5,0.0,0.0
10875,0.1,0.0,0.0,0.0,0.8,0.0,0.0
15823,0.0,0.0,0.0,-0.0,0.2,0.0,0.0
12478,-0.0,0.0,0.0,-0.0,0.3,0.0,0.0
10206,-0.0,0.0,0.0,-0.0,0.1,0.0,0.0
13033,-0.0,0.0,0.0,0.0,0.4,0.0,0.0
16825,-0.0,0.0,0.0,0.0,0.5,0.0,0.0
15278,-0.0,0.0,0.0,0.0,0.9,0.0,0.0
17526,0.0,0.0,0.0,-0.0,0.6,0.0,0.0
18153,-0.0,0.0,0.0,-0.0,0.2,0.0,0.0
13129,0.0,0.0,0.0,0.0,0.2,0.0,0.0
11497,0.0,0.0,0.0,0.0,0.5,0.0,0.0
19994,0.0,0.0,0.0,0.0,0.5,0.0,0.0
12735,0.1,0.0,0.0,-0.0,0.7,0.0,0.0
11060,0.0,0.0,0.0,-0.0,0.6,0.0,0.0
15372,0.0,0.0,0.0,0.0,0.6,0.0,0.0
12709,0.0,0.0,0.0,0.0,1.0,0.0,0.0
17628,0.1,0.0,0.0,0.0,0.1,0.0,0.0
13460,0.0,0.0,0.0,0.0,0.2,0.0,0.0
17278,0.0,0.0,0.0,-0.0,0.9,0.0,0.0
18619,-0.0,0.0,0.0,-0.0,0.8,0.0,0.0
18533,0.0,0.0,0.0,-0.0,0.4,0.0,0.0
14145,0.1,0.0,0.0,-0.0,0.9,0.0,0.0
12149,0.0,0.0,0.0,-0.0,0.4,0.0,0.0
15678,0.0,0.0,0.0,0.0,0.4,0.0,0.0
14421,-0.0,0.0,0.0,-0.0,0.1,0.0,0.0
19006,-0.1,0.0,0.0,-0.0,0.9,0.0,0.0
14041,0.0,0.0,0.0,-0.0,0.9,0.0,0.0
18379,-0.0,0.0,0.0,-0.0,0.7,0.0,0.0
12472,-0.0,0.0,0.0,0.0,0.1,0.0,0.0
19040,0.0,0.0,0.0,0.0,0.5,0.0,0.0
15130,0.0,0.0,0.0,-0.0,0.3,0.0,0.0
18688,-0.0,0.0,0.0,-0.0,0.6,0.0,0.0
11637,0.0,0.0,0.0,0.0,0.2,0.0,0.0
18203,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
14819,-0.0,0.0,0.0,0.0,0.5,0.0,0.0
15563,0.0,0.0,0.0,0.0,0.4,0.0,0.0
14913,-0.0,0.0,0.0,0.0,0.4,0.0,0.0
11562,-0.0,0.0,0.0,-0.0,0.2,0.0,0.0
15194,0.0,0.0,0.0,0.0,0.5,0.0,0.0
19744,-0.0,0.0,0.0,-0.0,0.6,0.0,0.0
10411,0.0,0.0,0.0,0.0,0.7,0.0,0.0
15872,0.1,0.0,0.0,-0.0,0.1,0.0,0.0
13406,0.0,0.0,0.0,-0.0,0.2,0.0,0.0
18903,0.0,0.0,0.0,-0.0,0.5,0.0,0.0
18370,0.0,0.0,0.0,0.0,0.8,0.0,0.0
13685,-0.0,0.0,0.0,-0.0,0.2,0.0,0.0
14771,0.0,0.0,0.0,0.0,0.4,0.0,0.0
12037,-0.0,0.0,0.0,-0.0,0.5,0.0,0.0
15504,0.1,0.0,0.0,-0.0,0.9,0.0,0.0
16988,0.0,0.0,0.0,0.0,0.1,0.0,0.0
17158,-0.0,0.0,0.0,0.0,0.5,0.0,0.0
19139,0.0,0.0,0.0,0.0,0.1,0.0,0.0
10391,-0.0,0.0,0.0,-0.0,0.2,0.0,0.0
14537,-0.0,0.0,0.0,-0.1,1.0,0.0,0.0
16101,0.0,0.0,0.0,-0.0,0.7,0.0,0.0
15579,-0.0,0.0,0.0,-0.0,0.4,0.0,0.0
14730,-0.0,0.0,0.0,-0.0,0.5,0.0,0.0
