,pop_density,flu_shot,covid_shots,bmi_diff,appetite_loss,fever,fatigue
17910,-0.0,0.0,0.0,-0.0,0.3,0.0,0.0
18243,-0.0,0.0,0.0,0.0,0.3,0.0,0.0
15318,0.0,0.0,0.0,-0.0,0.8,0.0,0.0
18242,-0.0,0.0,0.0,0.0,0.3,0.0,0.0
15738,0.0,0.0,0.0,-0.0,0.6,0.0,0.0
16692,0.0,0.0,0.0,0.0,0.3,0.0,0.0
19928,0.0,0.0,0.0,0.0,0.3,0.0,0.0
11204,-0.0,0.0,0.0,0.0,0.9,0.0,0.0
10220,-0.1,0.0,0.0,-0.0,0.3,0.0,0.0
10485,-0.0,0.0,0.0,0.0,0.3,0.0,0.0
16499,0.0,0.0,0.0,-0.0,0.5,0.0,0.0
19076,-0.0,0.0,0.0,-0.0,0.4,0.0,0.0
12224,-0.0,0.0,0.0,-0.0,0.8,0.0,0.0
19721,0.0,0.0,0.0,-0.0,0.8,0.0,0.0
14618,-0.0,0.0,0.0,-0.1,0.9,0.0,0.0
18545,-0.0,0.0,0.0,0.0,0.7,0.0,0.0
10571,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0
15832,0.0,0.0,0.0,0.0,0.5,0.0,0.0
16675,-0.1,0.0,0.0,-0.0,0.2,0.0,0.0
15956,0.0,0.0,0.0,-0.0,0.9,0.0,0.0
16615,0.0,0.0,0.0,0.0,0.5,0.0,0.0
11963,-0.0,0.0,0.0,0.0,0.3,0.0,0.0
18114,-0.0,0.0,0.0,-0.0,0.2,0.0,0.0
11443,0.0,0.0,0.0,-0.0,0.9,0.0,0.0
15723,-0.0,0.0,0.0,0.0,0.6,0.0,0.0
11951,0.0,0.0,0.0,-0.0,0.5,0.0,0.0
15821,-0.0,0.0,0.0,0.0,0.8,0.0,0.0
14182,0.0,0.0,0.0,-0.0,0.8,0.0,0.0
11271,-0.0,0.0,0.0,0.0,0.3,0.0,0.0
11999,0.0,0.0,0.0,0.0,0.2,0.0,0.0
10700,0.0,0.0,0.0,-0.0,0.8,0.0,0.0
16810,-0.0,0.0,0.0,0.0,0.5,0.0,0.0
12689,-0.0,0.0,0.0,-0.0,0.3,0.0,0.0
12047,-0.0,0.0,0.0,0.0,0.3,0.0,0.0
16033,-0.0,0.0,0.0,0.0,0.2,0.0,0.0
18557,0.0,0.0,0.0,0.0,0.6,0.0,0.0
17582,0.0,0.0,0.0,-0.0,0.3,0.0,0.0
14326,0.0,0.0,0.0,-0.0,0.2,0.0,0.0
14008,0.0,0.0,0.0,-0.0,0.1,0.0,0.0
11990,0.0,0.0,0.0,0.0,0.9,0.0,0.0
18250,0.1,0.0,0.0,-0.0,0.8,0.0,0.0
17590,0.0,0.0,0.0,-0.0,0.5,0.0,0.0
11500,-0.0,0.0,0.0,0.0,1.0,0.0,0.0
19126,0.1,0.0,0.0,-0.0,0.5,0.0,0.0
18996,0.0,0.0,0.0,0.0,0.4,0.0,0.0
10539,-0.0,0.0,0.0,0.0,0.5,0.0,0.0
10690,-0.0,0.0,0.0,-0.0,1.0,0.0,0.0
14802,0.0,0.0,0.0,0.0,1.1,0.0,0.0
18859,-0.0,0.0,0.0,-0.0,0.8,0.0,0.0
13943,-0.0,0.0,0.0,0.0,0.9,0.0,0.0
14044,-0.0,0.0,0.0,-0.0,0.7,0.0,0.0
